code	collegeName	name	status	displayOrder
D001	항공학부	항공교통물류학과	ACTIVE	1
D002	항공학부	항공운항학과	ACTIVE	2
D003	항공학부	헬리콥터조종학과	ACTIVE	3
D004	항공학부	항공정비학과	ACTIVE	4
D005	항공학부	항공보안학과	ACTIVE	5
D006	항공학부	공항행정학과	ACTIVE	6
D007	항공우주공학부	항공기계공학과	ACTIVE	7
D008	항공우주공학부	항공전자공학과	ACTIVE	8
D009	항공우주공학부	무인항공기학과	ACTIVE	9
D010	항공우주공학부	항공산업공학과	ACTIVE	10
D011	항공우주공학부	신소재화학공학과	ACTIVE	11
D012	항공우주공학부	환경·토목·건축학과	ACTIVE	12
D013	AI·SW학부	항공AI소프트웨어학과	ACTIVE	13
D014	AI·SW학부	AI로보틱스학과	ACTIVE	14
D015	AI·SW학부	AI모빌리티학과	ACTIVE	15
D016	항공관광학부	항공관광학과	ACTIVE	16
D017	항공관광학부	항공외국어학과	ACTIVE	17
D018	항공관광학부	호텔카지노관광학과	ACTIVE	18
D019	문화콘텐츠학부	문화유산보존학과	ACTIVE	19
D020	문화콘텐츠학부	미디어문예창작학과	ACTIVE	20
D021	문화콘텐츠학부	뮤직프로덕션학과	ACTIVE	21
D022	문화콘텐츠학부	영화영상학과	ACTIVE	22
D023	보건학부	사회복지학과	ACTIVE	23
D024	보건학부	간호학과	ACTIVE	24
D025	보건학부	물리치료학과	ACTIVE	25
D026	보건학부	작업치료학과	ACTIVE	26
D027	보건학부	방사선학과	ACTIVE	27
D028	보건학부	치위생학과	ACTIVE	28
D029	보건학부	의료재활학과	ACTIVE	29
D030	보건학부	수산생명의학과	ACTIVE	30
D031	디자인융합학부	영상애니메이션학과	ACTIVE	31
D032	디자인융합학부	공간디자인학과	ACTIVE	32
D033	디자인융합학부	디지털산업디자인학과	ACTIVE	33
D034	디자인융합학부	시각디자인학과	ACTIVE	34
D035	해양·스포츠학부	해양경찰학과	ACTIVE	35
D036	해양·스포츠학부	경호비서학과	ACTIVE	36
D037	해양·스포츠학부	레저해양스포츠학과	ACTIVE	37
D038	자유전공학부	자유전공학과	ACTIVE	38
D039	자유전공학부	인문사회전공자율학과	ACTIVE	39
D040	자유전공학부	공학전공자율학과	ACTIVE	40
D041	자유전공학부	자연과학전공자율학과	ACTIVE	41
D042	자유전공학부	예체능전공자율학과	ACTIVE	42
D043	충남RISE융합학부(계약학과)	첨단항공학과	ACTIVE	43
D044	충남RISE융합학부(계약학과)	항공서비스경영학과	ACTIVE	44
D045	충남RISE융합학부(계약학과)	모빌리티융합디자인학과	ACTIVE	45
D046	충남RISE융합학부(계약학과)	디지털융합학과(성인학습자)	ACTIVE	46
D047	항공학부	항공소프트웨어공학과	LEGACY	47
D048	항공학부	항공기계정비학과	LEGACY	48
D049	보건학부	안전보건학과	LEGACY	49
D050	보건학부	뷰티바이오산업학과	LEGACY	50
D051	보건학부	바이오식품과학과	LEGACY	51
D052	보건학부	의료복지공학과	LEGACY	52
D053	보건학부	보건상담복지학과	LEGACY	53
D054	보건학부	피부미용화장품과학과	LEGACY	54
D055	디자인융합학부	패션디자인학과	LEGACY	55
D056	디자인융합학부	디자인융합학과	LEGACY	56
D057	항공융합학부(이전)	항공컴퓨터학과	LEGACY	57
D058	항공융합학부(이전)	식품공학과	LEGACY	58
D059	항공융합학부(이전)	국제관계학과	LEGACY	59
D060	항공융합학부(이전)	전기전자공학과	LEGACY	60
D061	항공융합학부(이전)	글로벌언어협력학과	LEGACY	61
D062	항공융합학부(이전)	항공신소재화학공학과	LEGACY	62
D063	항공융합학부(이전)	항공인프라시스템학과	LEGACY	63
